mid,formula,site_index,cation,anion,cn,q,r0,b,n_shells_in_material,shell_weight,R_1,R_2,R_3,R_4,R_5,R_6
mp-1100482,Li9Mn7O16,6,Li,O,6,1,1.98625838042,0.1060551845,9,0.111111111111,2.12342049756,2.12342049756,2.12342049756,2.12342049756,2.19831607429,2.19831607429
mp-1100482,Li9Mn7O16,7,Li,O,6,1,1.98625838042,0.1060551845,9,0.111111111111,2.11835665574,2.11835665574,2.13040200275,2.13040200275,2.28634135771,2.58284249355
mp-1100482,Li9Mn7O16,8,Li,O,6,1,1.98625838042,0.1060551845,9,0.111111111111,2.06250419952,2.06250419952,2.06250419952,2.06250419952,2.23563428409,2.23563428409
mp-1100483,Li9Mn7O16,0,Li,O,6,1,2.15044238731,0.0161407600328,9,0.111111111111,2.11788655957,2.13096472382,2.13096472382,2.1508695238,2.1508695238,2.26250500723
mp-1100483,Li9Mn7O16,1,Li,O,6,1,2.15044238731,0.0161407600328,9,0.111111111111,2.14197924787,2.14197924787,2.14197924787,2.14197924787,2.22314980481,2.22314980481
mp-1100483,Li9Mn7O16,2,Li,O,6,1,2.15044238731,0.0161407600328,9,0.111111111111,2.11788655957,2.13096472382,2.13096472382,2.1508695238,2.1508695238,2.26250500723
mp-1100483,Li9Mn7O16,3,Li,O,6,1,2.15044238731,0.0161407600328,9,0.111111111111,2.12722819304,2.12722819304,2.14695753834,2.14695753834,2.16192795256,2.43296557361
mp-1100483,Li9Mn7O16,4,Li,O,6,1,2.15044238731,0.0161407600328,9,0.111111111111,2.12722819304,2.12722819304,2.14695753834,2.14695753834,2.16192795256,2.43296557361
mp-1100483,Li9Mn7O16,5,Li,O,6,1,2.15044238731,0.0161407600328,9,0.111111111111,2.13851734267,2.13851734267,2.18686876785,2.18686876785,2.24935406624,2.32605653289
mp-1100483,Li9Mn7O16,6,Li,O,6,1,2.15044238731,0.0161407600328,9,0.111111111111,2.06956079263,2.06956079263,2.06956079263,2.06956079263,2.12931906285,2.12931906285
mp-1100483,Li9Mn7O16,7,Li,O,6,1,2.15044238731,0.0161407600328,9,0.111111111111,2.13851734267,2.13851734267,2.18686876785,2.18686876785,2.24935406624,2.32605653289
mp-1100483,Li9Mn7O16,8,Li,O,6,1,2.15044238731,0.0161407600328,9,0.111111111111,2.05081357275,2.05081357275,2.05081357275,2.05081357275,2.20885455939,2.20885455939
mp-1100484,Li9Mn7O16,0,Li,O,6,1,1.96163312518,0.125438964365,18,0.0555555555556,2.12902224451,2.12902224451,2.13323343717,2.16424055557,2.16424055557,2.22704944638
mp-1100484,Li9Mn7O16,1,Li,O,6,1,1.96163312518,0.125438964365,18,0.0555555555556,2.12902224451,2.12902224451,2.13323343717,2.16424055557,2.16424055557,2.22704944638
mp-1100484,Li9Mn7O16,2,Li,O,6,1,1.96163312518,0.125438964365,18,0.0555555555556,1.98489448434,1.98489448434,2.08762388259,2.19259134492,2.27174801594,2.27174801594
mp-1100484,Li9Mn7O16,3,Li,O,6,1,1.96163312518,0.125438964365,18,0.0555555555556,2.13176879207,2.13176879207,2.14669882753,2.14669882753,2.17954537316,2.41667400006
mp-1100484,Li9Mn7O16,4,Li,O,6,1,1.96163312518,0.125438964365,18,0.0555555555556,2.11068525872,2.11068525872,2.18139587943,2.18139587943,2.25030223553,2.3574317256
mp-1100484,Li9Mn7O16,5,Li,O,6,1,1.96163312518,0.125438964365,18,0.0555555555556,2.11068525872,2.11068525872,2.18139587943,2.18139587943,2.25030223553,2.3574317256
mp-1100484,Li9Mn7O16,6,Li,O,6,1,1.96163312518,0.125438964365,18,0.0555555555556,2.13176879207,2.13176879207,2.14669882753,2.14669882753,2.17954537316,2.41667400006
mp-1100484,Li9Mn7O16,7,Li,O,6,1,1.96163312518,0.125438964365,18,0.0555555555556,1.98489448434,1.98489448434,2.08762388259,2.19259134492,2.27174801594,2.27174801594
mp-1100484,Li9Mn7O16,8,Li,O,6,1,1.96163312518,0.125438964365,18,0.0555555555556,2.07075537997,2.07075537997,2.07075537997,2.07075537997,2.22024224926,2.22024224926
mp-1100484,Li9Mn7O16,9,Li,O,6,1,1.96163312518,0.125438964365,18,0.0555555555556,2.12902224451,2.12902224451,2.13323343717,2.16424055557,2.16424055557,2.22704944638
mp-1100484,Li9Mn7O16,10,Li,O,6,1,1.96163312518,0.125438964365,18,0.0555555555556,2.12902224451,2.12902224451,2.13323343717,2.16424055557,2.16424055557,2.22704944638
mp-1100484,Li9Mn7O16,11,Li,O,6,1,1.96163312518,0.125438964365,18,0.0555555555556,1.98489448434,1.98489448434,2.08762388259,2.19259134492,2.27174801594,2.27174801594
mp-1100484,Li9Mn7O16,12,Li,O,6,1,1.96163312518,0.125438964365,18,0.0555555555556,2.13176879207,2.13176879207,2.14669882753,2.14669882753,2.17954537316,2.41667400006
mp-1100484,Li9Mn7O16,13,Li,O,6,1,1.96163312518,0.125438964365,18,0.0555555555556,2.11068525872,2.11068525872,2.18139587943,2.18139587943,2.25030223553,2.3574317256
mp-1100484,Li9Mn7O16,14,Li,O,6,1,1.96163312518,0.125438964365,18,0.0555555555556,2.11068525872,2.11068525872,2.18139587943,2.18139587943,2.25030223553,2.3574317256
mp-1100484,Li9Mn7O16,15,Li,O,6,1,1.96163312518,0.125438964365,18,0.0555555555556,2.13176879207,2.13176879207,2.14669882753,2.14669882753,2.17954537316,2.41667400006
mp-1100484,Li9Mn7O16,16,Li,O,6,1,1.96163312518,0.125438964365,18,0.0555555555556,1.98489448434,1.98489448434,2.08762388259,2.19259134492,2.27174801594,2.27174801594
mp-1100484,Li9Mn7O16,17,Li,O,6,1,1.96163312518,0.125438964365,18,0.0555555555556,2.07075537997,2.07075537997,2.07075537997,2.07075537997,2.22024224926,2.22024224926
mp-1100485,Li9Mn7O16,0,Li,O,6,1,2.13509662385,0.0261848190201,18,0.0555555555556,2.00476272859,2.00476272859,2.18646410945,2.19107974336,2.20972906973,2.20972906973
mp-1100485,Li9Mn7O16,1,Li,O,6,1,2.13509662385,0.0261848190201,18,0.0555555555556,2.14419073069,2.14419073069,2.14506915103,2.14506915103,2.22835002164,2.42517580598
mp-1100485,Li9Mn7O16,2,Li,O,6,1,2.13509662385,0.0261848190201,18,0.0555555555556,2.14419073069,2.14419073069,2.14506915103,2.14506915103,2.22835002164,2.42517580598
mp-1100485,Li9Mn7O16,3,Li,O,6,1,2.13509662385,0.0261848190201,18,0.0555555555556,2.00476272859,2.00476272859,2.18646410945,2.19107974336,2.20972906973,2.20972906973
